issue_number,title,github_labels
1843,1.159.0-release Using cached credential,
1842,"v1.158.0 cannot parse config files it writes — ""yaml: line 2228: did not find expected key""",
1816,"auth switch --context default writes bogus ""default: true"" into auth-contexts",
1795,oauth2 support,suggestion
1782,doctl apps spec get not returning authority correctly,"bug,app-platform"
1719,feature request: store the token in the keyring,suggestion
1689,"unknown field ""authority"" reported when validating example spec from DO documentation",bug
1632,Deployment failure: `sh: 1: tsc: Permission denied`,bug
1559,`doctl serverless install` should not require authentication,bug
1543,`doctl auth list --output json` produces text output,bug
1530,"doctl registry login fails with ""error storing credentials""",bug
1447,`doctl auth init` connection refused,bug
1407,doctl auth init -t TOKEN should not print token to stdout,bug
1396,--access-token flag ignored when removing registry,bug
1394,--access-token flag ignored when also providing --context flag,bug
1367,"Add command ""Add ssh key to droplet"" (Renewed, was not considered all around)","suggestion,do-api"
1176,doctl auth init flag --access-token do not have effect,"bug,Needs Investigation"
1110,"`Fingerprint could not be generated, please make sure your key is valid` while creating ssh-key with doctl",bug
1085,compute ssk-key import gets permission denied error,bug
1083,Revoke doks token command,suggestion
1074,Config initialization failed: open /home/<user>/.config/doctl/config.yaml: permission denied,"bug,snap"
999,Removing default auth context,bug
996,"""doctl auth switch"" mangles all auth-contexts keys that are email addresses",bug
965,Remove auth from list,"suggestion,good first issue"
936,Create new API keys from doctl,"enhancement,suggestion,do-api"
933,Support for getting do_token from Vault,suggestion
915,"""auth init"" failed with ""Error: mkdir $HOME/.config: file exists""","bug,Needs Investigation"
908,`doctl auth init` not working on Windows 10 powershell,"bug,waiting-response"
894,SSH key public_key not accessible via doctl,"help wanted,suggestion,good first issue,hacktoberfest"
891,auth init is freezing after OK,"bug,windows"
881,doctl auth init prompts for token even if flag is present,bug
876,doctl registry login error: docker-credential-secretservice: executable file not found in $PATH,"bug,suggestion,snap"
